"filename", "language", "C++", "XML", "comment", "blank", "total"
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\functor.h", "C++", 25, 0, 9, 8, 42
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\minus.h", "C++", 14, 0, 0, 5, 19
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\multiplies.h", "C++", 14, 0, 0, 5, 19
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\plus.h", "C++", 14, 0, 0, 5, 19
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\traits.h", "C++", 13, 0, 0, 6, 19
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\unary.h", "C++", 3, 0, 0, 2, 5
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\unary\functor.h", "C++", 21, 0, 7, 8, 36
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\unary\negate.h", "C++", 14, 0, 0, 5, 19
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector.h", "C++", 6, 0, 0, 1, 7
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\binary.h", "C++", 5, 0, 0, 1, 6
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\binary\binary.h", "C++", 28, 0, 1, 9, 38
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\binary\functor.h", "C++", 23, 0, 10, 8, 41
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\binary\plus.h", "C++", 9, 0, 0, 5, 14
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\binary\traits.h", "C++", 14, 0, 0, 5, 19
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\expression.h", "C++", 23, 0, 10, 6, 39
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\tag.h", "C++", 7, 0, 0, 5, 12
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\unary.h", "C++", 5, 0, 0, 2, 7
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\unary\functor.h", "C++", 22, 0, 9, 7, 38
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\unary\negate.h", "C++", 9, 0, 0, 5, 14
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\unary\traits.h", "C++", 13, 0, 0, 6, 19
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\unary\unary.h", "C++", 25, 0, 1, 10, 36
"g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\vector.h", "C++", 51, 0, 13, 13, 77
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\NDA.h", "C++", 7, 0, 0, 3, 10
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\NDA.hpp", "C++", 1, 0, 0, 0, 1
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\defined.h", "C++", 13, 0, 0, 7, 20
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\bitmap\bitmap.h", "C++", 15, 0, 0, 7, 22
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\bitmap\data.h", "C++", 67, 0, 2, 15, 84
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\bitmap\data_view.h", "C++", 33, 0, 0, 10, 43
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\bitmap\idata.h", "C++", 14, 0, 0, 9, 23
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\display.h", "C++", 56, 0, 0, 15, 71
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\sprite.h", "C++", 11, 0, 0, 6, 17
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\display\stage.h", "C++", 11, 0, 0, 6, 17
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\enum\blend.h", "C++", 21, 0, 0, 5, 26
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\impl\opengl.h", "C++", 1, 0, 0, 1, 2
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\impl\opengl\defined.h", "C++", 4, 0, 0, 5, 9
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\impl\opengl\draw.h", "C++", 11, 0, 0, 9, 20
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\impl\opengl\opengl.h", "C++", 1, 0, 0, 1, 2
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\impl\opengl\space.h", "C++", 4, 0, 0, 6, 10
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\interfaces\draw.h", "C++", 9, 0, 0, 5, 14
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\interfaces\interfaces.h", "C++", 2, 0, 0, 1, 3
"g:\Projects\C_CPP\Clion\NGS\include\NGS\nda\transform.h", "C++", 12, 0, 0, 9, 21
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\NGL.h", "C++", 26, 0, 0, 8, 34
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\NGL.hpp", "C++", 2, 0, 0, 2, 4
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\api\renderer.h", "C++", 19, 0, 0, 10, 29
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\api\renderer.hpp", "C++", 10, 0, 0, 6, 16
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\api\shader.h", "C++", 41, 0, 0, 13, 54
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\api\texture.h", "C++", 41, 0, 0, 11, 52
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\api\vertex.h", "C++", 6, 0, 0, 6, 12
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\api\vertex_array.h", "C++", 276, 0, 3, 45, 324
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\config.h", "C++", 13, 0, 0, 5, 18
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\context.h", "C++", 107, 0, 9, 24, 140
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\defined.h", "C++", 25, 0, 0, 11, 36
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\fw\glfw.h", "C++", 92, 0, 1, 19, 112
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\blend.h", "C++", 19, 0, 0, 5, 24
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\buffer.h", "C++", 41, 0, 0, 12, 53
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\error.h", "C++", 20, 0, 1, 7, 28
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\framebuffer.h", "C++", 32, 0, 1, 8, 41
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\gl.h", "C++", 11, 0, 0, 2, 13
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\render.h", "C++", 29, 0, 5, 7, 41
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\renderbuffer.h", "C++", 22, 0, 0, 8, 30
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\shader.h", "C++", 96, 0, 1, 14, 111
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\space.h", "C++", 8, 0, 0, 9, 17
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\state.h", "C++", 23, 0, 0, 7, 30
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\texture.h", "C++", 49, 0, 0, 12, 61
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\vertex.h", "C++", 110, 0, 0, 32, 142
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl\vertex_array.h", "C++", 58, 0, 21, 14, 93
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\gl_enum.h", "C++", 276, 0, 0, 28, 304
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl2\opengl.h", "C++", 3, 0, 0, 2, 5
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\NGL.h", "C++", 31, 0, 4, 12, 47
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\NGL.hpp", "C++", 10, 0, 4, 6, 20
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\buffer.h", "C++", 27, 0, 15, 7, 49
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\buffer.hpp", "C++", 62, 0, 0, 10, 72
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\buffer_target.h", "C++", 13, 0, 0, 6, 19
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\object.h", "C++", 13, 0, 0, 6, 19
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\opengl.h", "C++", 22, 0, 6, 14, 42
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\opengl.hpp", "C++", 36, 0, 0, 10, 46
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\state.h", "C++", 20, 0, 0, 8, 28
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\base\target.h", "C++", 22, 0, 0, 8, 30
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\config.h", "C++", 13, 0, 0, 5, 18
"g:\Projects\C_CPP\Clion\NGS\include\NGS\ngl\defined.h", "C++", 27, 0, 0, 11, 38
